--------//Account List (AccountId - Name - Credit) \\-------
//Auctioneers\\
0,Adam,10000
1,Peter,10000
2,Francis,10000
3,Robert,10000
4,Richard,10000
5,Joseph,10000
6,Stewart,10000
7,God,10000
8,Eve,20000
9,James,20000
10,Adam,1000
11,Peter,1000
12,Francis,1000
13,Robert,1000
14,Richard,1000
15,Joseph,1000
16,Stewart,1000
17,God,1000
18,Eve,2000
19,James,2000
20,Adam,1000
21,Peter,1000
22,Francis,1000
23,Robert,1000
24,Richard,1000
25,Joseph,1000
26,Stewart,1000
27,God,1000
28,Eve,2000
29,James,2000
30,Adam,100000
31,Peter,100000
32,Francis,100000
33,Robert,100000
34,Richard,100000
35,Joseph,100000
36,Stewart,100000
37,God,100000
38,Eve,200000
39,James,200000
40,Adam,1000000
41,Peter,1000000
42,Francis,1000000
43,Robert,1000000
44,Richard,1000000
45,Joseph,1000000
46,Stewart,1000000
47,God,1000000
48,Eve,2000000
49,James,2000000
50,Adam,1000000
51,Peter,1000000
52,Francis,1000000
53,Robert,1000000
54,Richard,1000000
55,Joseph,1000000
56,Stewart,1000000
57,God,1000000
58,Eve,2000000
59,James,2000000
60,Adam,10000
61,Peter,10000
62,Francis,10000
63,Robert,10000
64,Richard,10000
65,Joseph,10000
66,Stewart,10000
67,God,10000
68,Eve,20000
69,James,20000
70,Adam,10000
71,Peter,10000
72,Francis,10000
73,Robert,10000
74,Richard,10000
75,Joseph,10000
76,Stewart,10000
77,God,10000
78,Eve,20000
79,James,20000
80,Adam,10000
81,Peter,10000
82,Francis,10000
83,Robert,10000
84,Richard,10000
85,Joseph,10000
86,Stewart,10000
87,God,10000
88,Eve,20000
89,James,20000
90,Adam,10000
91,Peter,10000
92,Francis,10000
93,Robert,10000
94,Richard,10000
95,Joseph,10000
96,Stewart,10000
97,God,10000
98,Eve,20000
99,James,20000
100,Adam,1000000
101,Peter,1000000
102,Francis,1000000
103,Robert,1000000
104,Richard,1000000
105,Joseph,1000000
106,Stewart,1000000
107,God,1000000
108,Eve,2000000
109,James,2000000
110,Adam,100000
111,Peter,100000
112,Francis,100000
113,Robert,100000
114,Richard,100000
115,Joseph,100000
116,Stewart,100000
117,God,100000
118,Eve,200000
119,James,200000
120,Adam,100000
121,Peter,100000
122,Francis,100000
123,Robert,100000
124,Richard,100000
125,Joseph,100000
126,Stewart,100000
127,God,100000
128,Eve,200000
129,James,20000
130,Adam,1000000
131,Peter,1000000
132,Francis,1000000
133,Robert,1000000
134,Richard,1000000
135,Joseph,1000000
136,Stewart,1000000
137,God,1000000
138,Eve,2000000
139,James,2000000
140,Adam,10000000
141,Peter,10000000
142,Francis,10000000
143,Robert,10000000
144,Richard,10000000
145,Joseph,10000000
146,Stewart,10000000
147,God,10000000
148,Eve,20000000
149,James,20000000
150,Adam,10000000
151,Peter,10000000
152,Francis,10000000
153,Robert,10000000
154,Richard,10000000
155,Joseph,10000000
156,Stewart,10000000
157,God,10000000
158,Eve,20000000
159,James,20000000
160,Adam,100000
161,Peter,100000
162,Francis,100000
163,Robert,100000
164,Richard,100000
165,Joseph,100000
166,Stewart,100000
167,God,100000
168,Eve,200000
169,James,200000
170,Adam,100000
171,Peter,100000
